id,name,popularity,gender,birthday,place_of_birth,actor_popularity_span
5586,Yeardley Smith,30.073,Female,1964-07-03,"Paris, France",span4
1142530,Luis Guilherme,30.066,Male,1951-08-18,"São Paulo, São Paulo, Brazil",span4
85943,Dan Seymour,29.882,Male,1915-02-22,"Chicago, Illinois, USA",span4
43277,Joanne Kelly,28.365,Female,1978-12-22,"Bay d'Espoir, Newfoundland and Labrador, Canada",span4
1987262,Gökçe Eyüboğlu,28.177,Female,1983-08-20,"İstanbul, Türkiye",span4
1274508,Jaeden Martell,27.444,Male,2003-01-04,"Philadelphia, Pennsylvania, USA",span5
1352403,Şükrü Özyıldız,26.69,Male,1988-02-18,"İzmir, Türkiye",span5
208782,Holland Roden,26.666,Female,1986-10-07,"Dallas, Texas, USA",span5
8986,James Rebhorn,26.372,Male,1948-09-01,"Philadelphia, Pennsylvania, USA",span5
1547839,Richard Gadd,26.326,Male,1989-05-11,"Wormit, Fife, Scotland, UK",span5
110058,Eri Fukatsu,25.766,Female,1973-01-11,"Oita City, Oita, Japan",span5
41381,Sadie Frost,25.464,Female,1965-06-19,"London, England, UK",span5
83436,Nita Talbot,25.111,Female,1930-08-08,"New York City, New York, USA",span5
1571182,Morgane Polanski,24.845,Female,1993-01-20,,span5
2442126,Caylee Cowan,24.671,Female,1998-03-19,"Los Angeles, California, USA",span5
145245,Caitlin Stasey,24.616,Female,1990-05-01,"Melbourne, Victoria, Australia",span5
2364949,Melanie Martinez,24.153,Female,1995-04-28,"Astoria, Queens, New York City, New York, USA",span5
113948,Eugenia Yuan,24.103,Female,1976-01-22,"Los Angeles, California, USA",span5
44205,Jeremy Ratchford,23.8,Male,1965-08-06,Kitchener - Ontario - Canada,span5
17578,Sami Frey,23.727,Male,1937-10-13,"Paris, France",span5
2033111,Bae Hae-seon,23.487,Female,1974-05-08,"Seodaemun, Seoul, South Korea",span5
3639444,Alona Navarro,23.304,Female,,,span5
25004,Shin Ha-kyun,22.987,Male,1974-05-30,"Seoul, South Korea",span5
127394,Masao Kusakari,22.286,Male,1952-09-05,"Kokura, Fukuoka Prefecture, Japan",span5
1889622,Alejandro Speitzer,21.986,Male,1995-05-31,"Culiacán, Sinaloa, Mexico",span5
